UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,pct_sin_cobertura,BASE_norm,pct_escuelas_operativas,S1_raw,S1_norm,pct_establecimientos_operativos,S2_raw,S2_norm,calidad_conexion,S3_raw,S3_norm,tiene_dependencia_policial,pct_operativas,S4_raw,S4_norm,IVDC_sectorial,IVDC_v2,quintil_ivdc_v2,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,IDH_num
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1.28,0.0128,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.579138,3,0.40652,3,673.475341,70.849145,5.68501,0.40652
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.576923,2,0.406388,3,745.488917,71.70568,5.511219,0.406388
210710,PUNO,LAMPA,VILAVILA,85.42,0.8542,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,0.0,,100.0,1.0,0.25,0.241588,1,0.406348,3,328.823782,81.092631,7.894604,0.406348
220404,SAN MARTIN,HUALLAGA,PISCOYACU,27.27,0.2727,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.707337,5,0.406081,3,600.60535,77.265014,5.34563,0.406081
220507,SAN MARTIN,LAMAS,RUMISAPA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.405931,3,644.285929,71.507259,5.297227,0.405931
061102,CAJAMARCA,SAN MIGUEL,BOLIVAR,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0,5,1.0,0.0,,100.0,1.0,1.0,0.769231,5,0.405919,3,508.13651,76.332986,5.987756,0.405919
090304,HUANCAVELICA,ANGARAES,CCOCHACCASA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,3,2,0.4,1.0,100.0,0.0,0.0,0.1,0.076923,1,0.405663,3,554.954018,69.450979,6.090903,0.405663
151010,LIMA,YAUYOS,COCHAS,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,0,5,1.0,0.0,,100.0,1.0,0.75,0.576923,2,0.405525,3,326.0149,80.369497,8.97535,0.405525
211203,PUNO,SANDIA,LIMBANI,67.71,0.6771,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.694113,5,0.405464,3,456.607991,71.114252,6.795263,0.405464
210301,PUNO,CARABAYA,MACUSANI,49.61,0.4961,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.662787,4,0.405193,3,597.337921,65.497496,6.434003,0.405193
