UBIGEO,total_localidades_pronatel,localidades_operativas,localidades_en_ejecucion,localidades_proyectadas,pct_operativo,pob_cubierta_operativo,iiee_cubiertos,eess_cubiertos,dp_cubiertos
060604,2,0,0,2,0.0,0,0,0,0
060605,6,0,0,6,0.0,0,0,0,0
060606,9,0,0,9,0.0,0,0,0,0
060607,34,0,0,34,0.0,0,0,0,0
060608,3,0,0,3,0.0,0,0,0,0
060609,3,0,0,3,0.0,0,0,0,0
060610,5,0,0,5,0.0,0,0,0,0
060611,3,0,0,3,0.0,0,0,0,0
060612,10,0,0,10,0.0,0,0,0,0
060613,12,0,0,12,0.0,0,0,0,0
060614,19,0,0,19,0.0,0,0,0,0
060615,2,0,0,2,0.0,0,0,0,0
060701,52,0,0,52,0.0,0,0,0,0
060702,8,0,0,8,0.0,0,0,0,0
060703,13,0,0,13,0.0,0,0,0,0
060801,15,0,0,15,0.0,0,0,0,0
060802,17,0,0,17,0.0,0,0,0,0
060803,1,0,0,1,0.0,0,0,0,0
060804,4,0,0,4,0.0,0,0,0,0
060805,10,0,0,10,0.0,0,0,0,0
060806,4,0,0,4,0.0,0,0,0,0
060808,4,0,0,4,0.0,0,0,0,0
060809,2,0,0,2,0.0,0,0,0,0
060811,6,0,0,6,0.0,0,0,0,0
060812,6,0,0,6,0.0,0,0,0,0
060901,49,0,0,49,0.0,0,0,0,0
060902,25,0,0,25,0.0,0,0,0,0
060903,25,0,0,25,0.0,0,0,0,0
060904,29,0,0,29,0.0,0,0,0,0
060905,19,0,0,19,0.0,0,0,0,0
060906,30,0,0,30,0.0,0,0,0,0
060907,5,0,0,5,0.0,0,0,0,0
061001,12,0,0,12,0.0,0,0,0,0
061002,8,0,0,8,0.0,0,0,0,0
061003,6,0,0,6,0.0,0,0,0,0
061004,6,0,0,6,0.0,0,0,0,0
061006,1,0,0,1,0.0,0,0,0,0
061007,2,0,0,2,0.0,0,0,0,0
061101,11,0,0,11,0.0,0,0,0,0
061102,2,0,0,2,0.0,0,0,0,0
061103,4,0,0,4,0.0,0,0,0,0
061104,1,0,0,1,0.0,0,0,0,0
061105,1,0,0,1,0.0,0,0,0,0
061106,2,0,0,2,0.0,0,0,0,0
061107,9,0,0,9,0.0,0,0,0,0
