UBIGEO,total_escuelas_pronatel,escuelas_operativas,escuelas_no_operativas,pct_escuelas_operativas
120304,4,3,1,75.00%
120305,4,4,0,100.00%
120306,2,0,2,0.00%
120402,5,5,0,100.00%
120403,5,4,1,80.00%
120405,1,1,0,100.00%
120406,1,1,0,100.00%
120410,2,2,0,100.00%
120412,1,1,0,100.00%
120417,1,0,1,0.00%
120418,1,0,1,0.00%
120419,1,1,0,100.00%
120423,1,1,0,100.00%
120425,2,1,1,50.00%
120426,2,2,0,100.00%
120428,1,0,1,0.00%
120431,6,1,5,16.67%
120432,1,1,0,100.00%
120433,2,2,0,100.00%
120501,2,2,0,100.00%
120503,1,1,0,100.00%
120504,3,3,0,100.00%
120601,3,2,1,66.67%
120602,2,2,0,100.00%
120603,7,5,2,71.43%
120604,17,4,13,23.53%
120606,35,34,1,97.14%
120607,4,4,0,100.00%
120608,19,11,8,57.89%
120701,8,6,2,75.00%
120702,9,3,6,33.33%
120703,3,3,0,100.00%
120704,11,10,1,90.91%
120706,1,0,1,0.00%
120707,2,2,0,100.00%
120708,1,1,0,100.00%
120709,7,4,3,57.14%
120801,1,1,0,100.00%
120803,1,1,0,100.00%
120804,1,1,0,100.00%
120807,2,2,0,100.00%
120809,1,1,0,100.00%
120810,1,0,1,0.00%
120901,4,0,4,0.00%
120903,2,0,2,0.00%
120904,2,0,2,0.00%
120906,2,0,2,0.00%
120907,5,0,5,0.00%
120908,1,0,1,0.00%
120909,3,0,3,0.00%
130106,2,0,2,0.00%
130110,2,0,2,0.00%
130205,1,0,1,0.00%
130206,1,0,1,0.00%
130208,4,0,4,0.00%
130302,3,0,3,0.00%
130303,1,0,1,0.00%
130304,6,0,6,0.00%
130305,8,0,8,0.00%
130306,1,0,1,0.00%
130401,3,0,3,0.00%
130402,3,0,3,0.00%
130403,3,0,3,0.00%
130501,28,0,28,0.00%
130502,19,0,19,0.00%
130503,23,0,23,0.00%
130504,20,0,20,0.00%
130601,34,0,34,0.00%
130602,24,0,24,0.00%
130604,10,0,10,0.00%
130605,10,0,10,0.00%
130606,2,0,2,0.00%
130608,5,0,5,0.00%
130610,2,0,2,0.00%
130611,9,0,9,0.00%
130613,4,0,4,0.00%
130614,48,0,48,0.00%
130705,2,0,2,0.00%
130801,23,0,23,0.00%
130802,14,0,14,0.00%
130803,26,0,26,0.00%
130804,20,0,20,0.00%
130805,4,0,4,0.00%
130806,12,0,12,0.00%
130807,1,0,1,0.00%
130808,21,0,21,0.00%
130809,7,0,7,0.00%
