UBIGEO,total_establecimientos_salud_pronatel,establecimientos_operativos,establecimientos_no_operativos,pct_establecimientos_operativos
120603,3,2,1,66.67%
120604,5,0,5,0.00%
120606,15,15,0,100.00%
120607,3,3,0,100.00%
120608,11,6,5,54.55%
120609,2,0,2,0.00%
120701,5,3,2,60.00%
120702,4,2,2,50.00%
120703,2,2,0,100.00%
120704,5,4,1,80.00%
120706,3,0,3,0.00%
120707,2,2,0,100.00%
120708,1,1,0,100.00%
120709,3,2,1,66.67%
120801,1,1,0,100.00%
120803,1,1,0,100.00%
120804,1,1,0,100.00%
120805,1,1,0,100.00%
120806,1,1,0,100.00%
120807,1,1,0,100.00%
120809,1,1,0,100.00%
120902,1,1,0,100.00%
120903,2,0,2,0.00%
120904,3,0,3,0.00%
120905,1,0,1,0.00%
120906,3,0,3,0.00%
120907,2,0,2,0.00%
120908,1,0,1,0.00%
120909,1,0,1,0.00%
130106,5,0,5,0.00%
130107,2,0,2,0.00%
130108,1,0,1,0.00%
130203,1,0,1,0.00%
130204,1,0,1,0.00%
130205,1,0,1,0.00%
130208,1,0,1,0.00%
130302,1,0,1,0.00%
130304,1,0,1,0.00%
